method,seed,phase,epoch,metric,value
resnet18,20262021,source_model,9,optimizer_steps,250
resnet18,20262021,source_model,9,skipped_optimizer_steps,0
resnet18,20262021,source_model,9,unique_training_images,16000
resnet18,20262021,source_model,9,image_condition_rows,16000
resnet18,20262021,source_model,10,loss,0.00799503322970122
resnet18,20262021,source_model,10,nmae,0.019201621782034637
resnet18,20262021,source_model,10,samples,16000.0
resnet18,20262021,source_model,10,optimizer_steps,250
resnet18,20262021,source_model,10,skipped_optimizer_steps,0
resnet18,20262021,source_model,10,unique_training_images,16000
resnet18,20262021,source_model,10,image_condition_rows,16000
resnet18,20262021,source_model,11,loss,0.007404323869850487
resnet18,20262021,source_model,11,nmae,0.018234455287456514
resnet18,20262021,source_model,11,samples,16000.0
resnet18,20262021,source_model,11,optimizer_steps,250
resnet18,20262021,source_model,11,skipped_optimizer_steps,0
resnet18,20262021,source_model,11,unique_training_images,16000
resnet18,20262021,source_model,11,image_condition_rows,16000
resnet18,20262021,source_model,12,loss,0.006562697889283299
resnet18,20262021,source_model,12,nmae,0.016659361086785795
resnet18,20262021,source_model,12,samples,16000.0
resnet18,20262021,source_model,12,optimizer_steps,250
resnet18,20262021,source_model,12,skipped_optimizer_steps,0
resnet18,20262021,source_model,12,unique_training_images,16000
resnet18,20262021,source_model,12,image_condition_rows,16000
resnet18,20262021,source_model,13,loss,0.0064878975846804675
resnet18,20262021,source_model,13,nmae,0.016593810595571995
resnet18,20262021,source_model,13,samples,16000.0
resnet18,20262021,source_model,13,optimizer_steps,250
resnet18,20262021,source_model,13,skipped_optimizer_steps,0
resnet18,20262021,source_model,13,unique_training_images,16000
resnet18,20262021,source_model,13,image_condition_rows,16000
resnet18,20262021,source_model,14,loss,0.005972470361739397
resnet18,20262021,source_model,14,nmae,0.015695183109492063
resnet18,20262021,source_model,14,samples,16000.0
resnet18,20262021,source_model,14,optimizer_steps,250
resnet18,20262021,source_model,14,skipped_optimizer_steps,0
resnet18,20262021,source_model,14,unique_training_images,16000
resnet18,20262021,source_model,14,image_condition_rows,16000
resnet18,20262021,source_model,15,loss,0.005722393534146249
resnet18,20262021,source_model,15,nmae,0.014924721393734217
resnet18,20262021,source_model,15,samples,16000.0
resnet18,20262021,source_model,15,optimizer_steps,250
resnet18,20262021,source_model,15,skipped_optimizer_steps,0
resnet18,20262021,source_model,15,unique_training_images,16000
resnet18,20262021,source_model,15,image_condition_rows,16000
resnet18,20262021,source_model,16,loss,0.005427490192465484
resnet18,20262021,source_model,16,nmae,0.014202700834721327
resnet18,20262021,source_model,16,samples,16000.0
resnet18,20262021,source_model,16,optimizer_steps,250
resnet18,20262021,source_model,16,skipped_optimizer_steps,0
resnet18,20262021,source_model,16,unique_training_images,16000
