dataset,method,scope,seed_count,images,rows,groups,nmae_pct_fs_mean,nmae_pct_fs_sample_sd,acc_at_2_pct_mean,acc_at_2_pct_sample_sd,acc_at_5_pct_mean,acc_at_5_pct_sample_sd,coverage_pct_mean,coverage_pct_sample_sd,failures_mean,failures_sample_sd
industrial,original_geoprr,all_conditions,3,1395,8370,52,10.85073272807019,0.8089502260608922,17.264038231780166,2.7129878067453594,45.539625647152526,3.012656405713162,100.0,0.0,0.0,0.0
industrial,original_geoprr,clean,3,1395,1395,52,10.950805726539848,0.97236536936849,18.231780167264038,2.5549631422953247,47.62246117084826,1.4644256579254062,100.0,0.0,0.0,0.0
industrial,original_geoprr,blur_moderate,3,1395,1395,52,10.867163757083247,0.8741919761231575,18.37514934289128,2.737500415146857,47.43130227001195,1.8889036247523703,100.0,0.0,0.0,0.0
industrial,original_geoprr,blur_severe,3,1395,1395,52,10.82452298053965,0.8542619503799248,18.016726403823178,3.2141032893629866,46.3321385902031,3.148686529993621,100.0,0.0,0.0,0.0
industrial,original_geoprr,perspective_moderate,3,1395,1395,52,10.007257762454904,0.9148394875468789,17.56272401433692,2.9910603648781455,47.09677419354839,2.6348352615754975,100.0,0.0,0.0,0.0
industrial,original_geoprr,perspective_severe,3,1395,1395,52,11.1981706823916,0.5617618609934999,16.463560334528076,2.7139346933334645,43.7037037037037,3.7703185718159764,100.0,0.0,0.0,0.0
industrial,original_geoprr,combined_severe,3,1395,1395,52,11.256475459411888,0.7922588410234389,14.934289127837516,2.899757504701169,41.05137395459976,5.57682750676303,100.0,0.0,0.0,0.0
industrial,original_geoprr,perspective_pair,3,1395,2790,52,10.60271422242325,0.7346231347995483,17.0131421744325,2.8232111336185106,45.40023894862605,3.2012874086238856,100.0,0.0,0.0,0.0
industrial,original_geoprr,projective_three,3,1395,4185,52,10.820634634752798,0.7423474593886245,16.320191158900837,2.8471007047273793,43.95061728395061,3.980509270894806,100.0,0.0,0.0,0.0
industrial,raw_full,all_conditions,3,1395,8370,52,13.691356237660733,2.402120795983255,17.005177220230983,1.3382367524767707,41.40183193946635,4.167056688508601,100.0,0.0,0.0,0.0
industrial,raw_full,clean,3,1395,1395,52,12.229215720369195,2.1145780997552417,23.249701314217447,2.588928694056271,52.32974910394265,2.6319082079836305,100.0,0.0,0.0,0.0
industrial,raw_full,blur_moderate,3,1395,1395,52,12.187103451979704,2.1190426433225955,23.918757467144562,2.336448414034816,52.449223416965346,2.3309435408854875,100.0,0.0,0.0,0.0
industrial,raw_full,blur_severe,3,1395,1395,52,12.311383579473471,2.3575559913205915,23.416965352449225,2.0456291255268337,52.090800477897254,2.329841005447746,100.0,0.0,0.0,0.0
industrial,raw_full,perspective_moderate,3,1395,1395,52,11.503035881319866,1.4697480433787384,14.671445639187574,1.8420753999720947,44.87455197132616,6.288662996261307,100.0,0.0,0.0,0.0
industrial,raw_full,perspective_severe,3,1395,1395,52,17.10995252965777,3.064480494015884,8.55436081242533,1.33212519615449,23.082437275985665,5.279899592349905,100.0,0.0,0.0,0.0
industrial,raw_full,combined_severe,3,1395,1395,52,16.80744626316439,3.429291691130613,8.219832735961768,2.007595107411706,23.584229390681003,6.828121617221537,100.0,0.0,0.0,0.0
