section,source_table,cohort,method,candidate,reference,seed,aggregation,scope,condition,angle_degrees,metric,statistic,value,unit,sample_sd,ci95_low,ci95_high,images,rows,groups,source_seeds,ensemble_members,notes
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,1.5028957701878323,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,3.283467399013483,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,61.416666666666664,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,acc_at_2_pct,value,78.29166666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,acc_at_5_pct,value,94.71666666666667,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,polar_only,,,,equal_ensemble,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,nmae_pct_fs,value,0.726439705925198,percent_full_scale_or_percent,0.006902152732278678,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,rmse_pct_fs,value,1.9531137201863868,percent_full_scale_or_percent,0.06316436132528247,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,acc_at_1_pct,value,81.80972222222222,percent_full_scale_or_percent,0.24286103327105094,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,acc_at_2_pct,value,95.1375,percent_full_scale_or_percent,0.12956926504555025,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,acc_at_5_pct,value,99.20694444444445,percent_full_scale_or_percent,0.0800751961411074,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,seed_mean,all_conditions,,,coverage_pct,value,100.0,percent_full_scale_or_percent,0.0,,,4000,24000,145,3,0,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,nmae_pct_fs,value,0.64984299470428,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,rmse_pct_fs,value,1.8101649081123412,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
main_results,syncg/summary.csv,syncg,raw_efficientnet_b0_six_condition,,,,equal_ensemble,all_conditions,,,acc_at_1_pct,value,85.6875,percent_full_scale_or_percent,,,,4000,24000,145,3,3,{}
