数据集,方法,评测条件,基础专家权重,极坐标专家权重,关系专家权重,归一化路由熵,最大权重>0.95占比（%）
Industrial-1395,11标量MLP门控,无扰动,0.445 ± 0.010,0.361 ± 0.014,0.194 ± 0.004,0.949 ± 0.001,0.00 ± 0.00
Industrial-1395,三专家等权混合,无扰动,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,无扰动,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,中度模糊,0.466 ± 0.042,0.334 ± 0.072,0.200 ± 0.030,0.872 ± 0.016,0.26 ± 0.18
Industrial-1395,线性增益头,中度模糊,0.436 ± 0.060,0.371 ± 0.094,0.194 ± 0.034,0.870 ± 0.019,0.76 ± 0.52
Industrial-1395,11标量MLP门控,中度模糊,0.445 ± 0.010,0.361 ± 0.014,0.194 ± 0.004,0.949 ± 0.001,0.00 ± 0.00
Industrial-1395,三专家等权混合,中度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,中度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,重度模糊,0.469 ± 0.045,0.330 ± 0.076,0.201 ± 0.031,0.873 ± 0.017,0.22 ± 0.22
Industrial-1395,线性增益头,重度模糊,0.436 ± 0.060,0.370 ± 0.094,0.194 ± 0.034,0.867 ± 0.016,0.79 ± 0.52
Industrial-1395,11标量MLP门控,重度模糊,0.445 ± 0.010,0.361 ± 0.014,0.194 ± 0.004,0.948 ± 0.001,0.00 ± 0.00
Industrial-1395,三专家等权混合,重度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,重度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,中度透视,0.199 ± 0.025,0.046 ± 0.003,0.755 ± 0.028,0.490 ± 0.029,17.16 ± 5.41
Industrial-1395,线性增益头,中度透视,0.204 ± 0.025,0.050 ± 0.015,0.745 ± 0.034,0.487 ± 0.038,22.32 ± 3.86
Industrial-1395,11标量MLP门控,中度透视,0.238 ± 0.010,0.046 ± 0.003,0.716 ± 0.012,0.585 ± 0.007,6.14 ± 1.29
Industrial-1395,三专家等权混合,中度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,中度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,重度透视,0.147 ± 0.028,0.022 ± 0.004,0.831 ± 0.024,0.344 ± 0.033,31.21 ± 9.42
Industrial-1395,线性增益头,重度透视,0.128 ± 0.019,0.019 ± 0.003,0.853 ± 0.022,0.296 ± 0.029,42.63 ± 4.32
Industrial-1395,11标量MLP门控,重度透视,0.168 ± 0.011,0.026 ± 0.006,0.806 ± 0.016,0.421 ± 0.024,15.24 ± 2.10
Industrial-1395,三专家等权混合,重度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,重度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
Industrial-1395,GeoPRR完整模型,重度复合扰动,0.139 ± 0.036,0.021 ± 0.002,0.840 ± 0.034,0.331 ± 0.045,33.38 ± 11.22
Industrial-1395,线性增益头,重度复合扰动,0.119 ± 0.014,0.019 ± 0.004,0.862 ± 0.018,0.281 ± 0.023,43.97 ± 3.58
Industrial-1395,11标量MLP门控,重度复合扰动,0.168 ± 0.014,0.027 ± 0.007,0.805 ± 0.020,0.422 ± 0.032,13.91 ± 2.94
Industrial-1395,三专家等权混合,重度复合扰动,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
Industrial-1395,固定先验混合,重度复合扰动,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
