figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_paired,all_conditions,syncg/paired.csv,syncg,no_polar_evidence,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.004166666666666668,,-0.0250439835343113,0.017961370645460138,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_relational_transport,full,seed_mean,all_conditions,,,candidate_minus_reference,0.05116456419475274,,0.046971286115394785,0.05535925002289045,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,no_relational_transport,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.054166666666666675,,-0.09568842868760014,-0.013951233998916625,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,polar_only,full,seed_mean,all_conditions,,,candidate_minus_reference,0.8952076902331707,,0.8536866266765344,0.9383370010026288,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,polar_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-4.977777777777778,,-5.276220333398128,-4.677756364548085,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,raw_efficientnet_b0_six_condition,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.01388439393017001,,-0.038878237401252624,0.012044085339993052,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,raw_efficientnet_b0_six_condition,full,seed_mean,all_conditions,,,candidate_minus_reference,0.30972222222222223,,0.16199870894860002,0.45700162636256886,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,relational_only,full,seed_mean,all_conditions,,,candidate_minus_reference,0.011122988080832228,,0.009045444733221433,0.013199027442567852,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,relational_only,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.011111111111111113,,-0.03211323970986218,0.009964164992867675,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,scalar_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.0013700763741831504,,-0.0022530374672800045,-0.000517823934829628,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,scalar_gate,full,seed_mean,all_conditions,,,candidate_minus_reference,4.625929269271486e-19,,-0.015224586900412887,0.015213122009238515,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,uniform,full,seed_mean,all_conditions,,,candidate_minus_reference,0.21632161630615077,,0.20320864199516206,0.23004758604825967,4000,145,native_metric
table_paired,all_conditions,syncg/paired.csv,syncg,uniform,full,seed_mean,all_conditions,,,candidate_minus_reference,-0.775,,-0.9057846063007801,-0.6490926144327077,4000,145,native_metric
table_main,frozen_transfer,rf100/summary.csv,rf100,base_only,,seed_mean,all_conditions,,,nmae_pct_fs,3.2463084145314096,0.3026655148161195,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,base_only,,seed_mean,all_conditions,,,acc_at_2_pct,55.555555555555564,1.1488222955111096,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,base_only,,seed_mean,all_conditions,,,acc_at_5_pct,84.84179543782193,0.8921527338471053,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,base_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,dual_view,,seed_mean,all_conditions,,,nmae_pct_fs,3.263785350554491,0.2341727099706094,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,dual_view,,seed_mean,all_conditions,,,acc_at_2_pct,53.863134657836646,1.0116061136767864,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,dual_view,,seed_mean,all_conditions,,,acc_at_5_pct,84.1795437821928,1.2405971523243156,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,dual_view,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,fixed_prior,,seed_mean,all_conditions,,,nmae_pct_fs,3.398789697435682,0.3243949995128831,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,fixed_prior,,seed_mean,all_conditions,,,acc_at_2_pct,53.01692420897718,1.469829606728343,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,fixed_prior,,seed_mean,all_conditions,,,acc_at_5_pct,83.14937454010303,1.316816053581554,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,fixed_prior,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,full,,seed_mean,all_conditions,,,nmae_pct_fs,3.1905881625362356,0.2567741982284028,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,full,,seed_mean,all_conditions,,,acc_at_2_pct,56.07064017660044,0.8760765930677419,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,full,,seed_mean,all_conditions,,,acc_at_5_pct,85.28329654157469,0.2297644591022274,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,full,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,linear_gate,,seed_mean,all_conditions,,,nmae_pct_fs,3.2008544412545032,0.2469817923753757,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,linear_gate,,seed_mean,all_conditions,,,acc_at_2_pct,55.997056659308306,0.6078996189057466,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,linear_gate,,seed_mean,all_conditions,,,acc_at_5_pct,85.1729212656365,0.3372020378922674,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,linear_gate,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,polar_only,,seed_mean,all_conditions,,,nmae_pct_fs,4.616128931965095,0.5541633710158747,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,polar_only,,seed_mean,all_conditions,,,acc_at_2_pct,44.334069168506254,3.697709024062469,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,polar_only,,seed_mean,all_conditions,,,acc_at_5_pct,74.39293598233996,2.7461049237582253,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,polar_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,nmae_pct_fs,4.1613452915295674,0.6111833122500357,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,acc_at_2_pct,50.33112582781457,2.8377395435281345,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,acc_at_5_pct,76.56364974245768,3.806480399228129,,,151,35,percent_full_scale_or_percent
table_main,frozen_transfer,rf100/summary.csv,rf100,raw_efficientnet_b0_six_condition,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,151,35,percent_full_scale_or_percent
