数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,线性增益头,GeoPRR完整模型,中度模糊,三模型等权集成,0.000588,"[0.000110, 0.001065]",-0.025,"[-0.076336, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,中度模糊,三模型等权集成,0.007259,"[0.005735, 0.008749]",0.025,"[0.000000, 0.076785]"
SyncG,去几何融合,GeoPRR完整模型,中度模糊,三模型等权集成,-0.000963,"[-0.001527, -0.000394]",-0.025,"[-0.076336, 0.000000]"
SyncG,去极坐标证据,GeoPRR完整模型,中度模糊,三模型等权集成,0.022628,"[0.019563, 0.025641]",0.05,"[0.000000, 0.126775]"
SyncG,去关系传输,GeoPRR完整模型,中度模糊,三模型等权集成,-0.000552,"[-0.001022, -0.000090]",0,"[0.000000, 0.000000]"
SyncG,仅极坐标专家,GeoPRR完整模型,中度模糊,三模型等权集成,-0.007202,"[-0.010841, -0.003591]",-0.025,"[-0.103253, 0.050697]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,中度模糊,三模型等权集成,0.007387,"[-0.013887, 0.029389]",0.125,"[-0.050774, 0.323383]"
SyncG,仅关系专家,GeoPRR完整模型,中度模糊,三模型等权集成,0.022628,"[0.019563, 0.025641]",0.05,"[0.000000, 0.126775]"
SyncG,11标量MLP门控,GeoPRR完整模型,中度模糊,三模型等权集成,0.00165,"[0.000796, 0.002480]",0.025,"[0.000000, 0.076785]"
SyncG,三专家等权混合,GeoPRR完整模型,中度模糊,三模型等权集成,0.003148,"[0.002058, 0.004221]",0.025,"[0.000000, 0.076785]"
SyncG,仅几何/基础专家,GeoPRR完整模型,重度模糊,三seed平均,0.024941,"[0.022337, 0.027511]",0.016667,"[-0.016469, 0.050314]"
SyncG,简单双视图回归,GeoPRR完整模型,重度模糊,三seed平均,0.001796,"[-0.008156, 0.011054]",0.025,"[-0.058319, 0.118175]"
SyncG,固定先验混合,GeoPRR完整模型,重度模糊,三seed平均,0.008532,"[0.007170, 0.009865]",0.025,"[0.000000, 0.057842]"
SyncG,线性增益头,GeoPRR完整模型,重度模糊,三seed平均,0.000517,"[0.000071, 0.000965]",0,"[-0.024956, 0.024863]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,重度模糊,三seed平均,0.008532,"[0.007170, 0.009865]",0.025,"[0.000000, 0.057842]"
SyncG,去几何融合,GeoPRR完整模型,重度模糊,三seed平均,-0.001101,"[-0.001626, -0.000565]",0.008333,"[0.000000, 0.025368]"
SyncG,去极坐标证据,GeoPRR完整模型,重度模糊,三seed平均,0.024941,"[0.022337, 0.027511]",0.016667,"[-0.016469, 0.050314]"
SyncG,去关系传输,GeoPRR完整模型,重度模糊,三seed平均,-0.000216,"[-0.000671, 0.000236]",0.008333,"[0.000000, 0.025491]"
SyncG,仅极坐标专家,GeoPRR完整模型,重度模糊,三seed平均,-0.009142,"[-0.012255, -0.005985]",-0.025,"[-0.067872, 0.016738]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,重度模糊,三seed平均,-0.009314,"[-0.033361, 0.015464]",0.058333,"[-0.091188, 0.216884]"
