数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
Industrial-1395,仅几何/基础专家,中度透视,10.497 ± 1.439,17.665 ± 2.549,9.27 ± 0.93,23.35 ± 2.44,53.33 ± 4.63
Industrial-1395,简单双视图回归,中度透视,9.155 ± 0.956,16.416 ± 0.694,14.27 ± 2.39,33.48 ± 3.12,59.28 ± 5.60
Industrial-1395,仅极坐标专家,中度透视,11.541 ± 1.162,17.915 ± 2.339,6.57 ± 0.98,14.67 ± 1.11,44.28 ± 3.93
Industrial-1395,仅关系专家,中度透视,10.467 ± 1.284,17.779 ± 2.301,11.42 ± 1.36,25.57 ± 2.93,53.84 ± 4.51
Industrial-1395,固定先验混合,中度透视,10.594 ± 1.312,17.372 ± 2.363,9.44 ± 0.52,19.78 ± 1.88,51.40 ± 4.24
Industrial-1395,GeoPRR完整模型,重度透视,11.605 ± 1.239,19.169 ± 2.196,11.33 ± 2.67,24.21 ± 5.59,49.82 ± 6.18
Industrial-1395,仅几何/基础专家,重度透视,11.584 ± 1.413,18.945 ± 2.513,8.96 ± 1.51,20.31 ± 1.86,49.41 ± 3.96
Industrial-1395,简单双视图回归,重度透视,10.325 ± 1.039,17.747 ± 0.695,11.97 ± 3.05,29.68 ± 2.79,55.22 ± 5.81
Industrial-1395,仅极坐标专家,重度透视,17.144 ± 2.705,22.988 ± 3.973,4.06 ± 0.11,8.43 ± 0.76,22.13 ± 3.82
Industrial-1395,仅关系专家,重度透视,11.599 ± 1.250,19.196 ± 2.192,12.69 ± 2.94,24.97 ± 5.66,49.75 ± 6.44
Industrial-1395,固定先验混合,重度透视,12.504 ± 1.500,18.745 ± 2.490,7.48 ± 0.62,15.13 ± 1.68,40.45 ± 4.14
Industrial-1395,GeoPRR完整模型,重度复合扰动,10.876 ± 1.372,18.129 ± 2.546,11.88 ± 1.89,24.64 ± 4.11,51.42 ± 5.84
Industrial-1395,仅几何/基础专家,重度复合扰动,10.853 ± 1.608,17.914 ± 2.853,9.68 ± 1.19,20.93 ± 1.98,51.14 ± 4.96
Industrial-1395,简单双视图回归,重度复合扰动,9.544 ± 0.944,16.606 ± 0.990,13.36 ± 2.88,30.92 ± 3.19,55.87 ± 5.57
Industrial-1395,仅极坐标专家,重度复合扰动,16.852 ± 3.069,22.496 ± 4.281,3.63 ± 0.35,8.03 ± 1.51,23.18 ± 5.76
Industrial-1395,仅关系专家,重度复合扰动,10.863 ± 1.380,18.141 ± 2.558,12.66 ± 2.57,25.42 ± 4.63,51.37 ± 5.71
Industrial-1395,固定先验混合,重度复合扰动,11.866 ± 1.776,17.850 ± 2.801,7.62 ± 0.50,15.10 ± 1.09,41.34 ± 6.07
