method,seed,preprocessing,dataset,dataset_name,dataset_samples,groups,group_unit,scope,conditions,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,clean,clean,434,1.0,0.11592440469712363,0.19172609492954007,0.1382488479262673,0.3663594470046083,0.5138248847926268,0.4454548269510268,0.6693533694744115,0.8719863295555115,1.0,0.11045485436071155,0.13217898029720387,0.12671055160484335,0.33821833557562947,0.5175037267621947,0.22823309723667123,0.2928529834120652,0.3205370216207071
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,blur_moderate,blur_moderate,434,1.0,0.11577803987544458,0.19212272220618637,0.1382488479262673,0.35023041474654376,0.5138248847926268,0.45534050315618474,0.6691410177946091,0.887539267539978,1.0,0.11118648092168404,0.13321947376582643,0.12624927926196425,0.3226263694022679,0.4739834172844384,0.23061329852322288,0.2966618765697424,0.32690226632085717
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,blur_severe,blur_severe,434,1.0,0.12334048724984792,0.20455374957705805,0.12672811059907835,0.3294930875576037,0.5023041474654378,0.478035153448581,0.7102825558185585,0.8695484399795532,1.0,0.11799589632307766,0.14135134197951954,0.11531328079953873,0.303970096147686,0.4637847184977319,0.2619673791401766,0.30735822605226526,0.32108629010617734
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,perspective_moderate,perspective_moderate,434,1.0,0.10899706556251453,0.1877846921189329,0.18663594470046083,0.3317972350230415,0.5207373271889401,0.4363520190119738,0.7458619666099551,0.8703256845474243,1.0,0.103294308745732,0.13175484820286582,0.17391408802613875,0.30732116757936556,0.5224045356979098,0.2641314670679244,0.3167212201067805,0.33226790116591887
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,perspective_severe,perspective_severe,434,1.0,0.13313671481817926,0.21080096624035471,0.14746543778801843,0.2626728110599078,0.46543778801843316,0.4679152756929397,0.7020215809345257,0.8987669944763184,1.0,0.124027580488892,0.15198310833997367,0.13681529886603883,0.24435002981514609,0.4728412722778698,0.28371076266548856,0.32411611668288703,0.3346427921544422
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,combined_severe,combined_severe,434,1.0,0.13133546473073004,0.2050987213878672,0.0944700460829493,0.20506912442396313,0.42626728110599077,0.4645170912146567,0.7220577138662349,0.8318588733673096,1.0,0.12257126367279439,0.15174384732512672,0.08824236017682106,0.19122887368580319,0.4368401518113632,0.28551141652857714,0.33397943737506863,0.3525272794745185
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,projective_pooled,perspective_moderate;perspective_severe;combined_severe,1302,1.0,0.12448974837047462,0.20146598015298395,0.14285714285714285,0.2665130568356375,0.47081413210445466,0.46639699637889864,0.7384931635856629,0.8987669944763184,1.0,0.11663105096913946,0.1462386467861507,0.13299058235633288,0.2476333570267716,0.47736198659571427,0.28860716479867693,0.3442923177291047,0.37989181727170945
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,4884,1.0,0.12413377088949505,0.1998646386846028,0.09275184275184276,0.19717444717444718,0.46130221130221133,0.4774512931704517,0.6906233614683152,0.9334620237350464,1.0,0.12020038866394087,0.14989403268603413,0.09357986044203555,0.20047925183698098,0.47036991517214066,0.27403279923997814,0.38967679678541434,0.4394634504318238
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,clean,clean,814,1.0,0.12992303715059558,0.21135422933898457,0.07985257985257985,0.1904176904176904,0.4680589680589681,0.5103710353374471,0.7173701858520508,0.8939263820648193,1.0,0.1260243543985073,0.1517497735624019,0.07974140542539995,0.1945199313530367,0.47585198173900584,0.2578864892657101,0.33079496567460887,0.36269947805255653
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,blur_moderate,blur_moderate,814,1.0,0.12938497277062744,0.21034549708764316,0.08353808353808354,0.1941031941031941,0.4680589680589681,0.5088029563426958,0.714888255596161,0.8940815925598145,1.0,0.12548522341464569,0.1518119462144613,0.08433513021406318,0.1979291513320241,0.4760433554059893,0.2558270150613785,0.3322698934836983,0.36531801496446137
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,blur_severe,blur_severe,814,1.0,0.13473880166846902,0.21628167819951036,0.08353808353808354,0.18181818181818182,0.44226044226044225,0.5379871279001233,0.6775112903118133,0.9334620237350464,1.0,0.13060578272412957,0.15840243107601876,0.08346459172382566,0.18739421924784444,0.45154183751252586,0.26244120691411194,0.3490029790044128,0.38319651973247526
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,perspective_moderate,perspective_moderate,814,1.0,0.11812051103219243,0.1965445618549769,0.11056511056511056,0.22604422604422605,0.48402948402948404,0.49513531923294,0.7261769831180572,0.8751400709152222,1.0,0.11425134542986144,0.14255473824764706,0.11071791675416846,0.2262779760898776,0.4917818477071588,0.2500849439009279,0.33632538673418755,0.36368746165931226
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,perspective_severe,perspective_severe,814,1.0,0.12294777100885639,0.19306103927884893,0.09582309582309582,0.20147420147420148,0.45085995085995084,0.43414783030748366,0.6810556590557099,0.8878847360610962,1.0,0.11866624045634018,0.14680447833082938,0.09958864816593956,0.2049836540568415,0.4605057800740294,0.26601282477006316,0.34449975641918174,0.3804273751616478
GeoPRR-Net,20262021,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,combined_severe,combined_severe,814,1.0,0.10968753170622948,0.16756882277931823,0.10319410319410319,0.1891891891891892,0.45454545454545453,0.3794513821601856,0.5997256082296373,0.7562447190284729,1.0,0.10616938556016106,0.13338185010959075,0.10363147036881645,0.19177057894226157,0.46649468859413473,0.2422178525349498,0.33494601453441375,0.3678820241689682
