method,seed,preprocessing,cohort,cohort_name,cohort_images,group_unit,scope,conditions,groups,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.13310866809442656,0.19181024533357585,0.06308243727598567,0.13978494623655913,0.34050179211469533,0.43827473521232596,0.6090694105625151,0.7819525599479675,1.0,0.15288183739178707,0.1833099144504107,0.059415090548022256,0.11237177146692562,0.28210128140250207,0.3096011154781931,0.3544417106076654,0.36896843996758644
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.18999471034112797,0.2358308839765223,0.03799283154121864,0.06236559139784946,0.13476702508960572,0.46721515655517576,0.5664742288589475,0.6890918016433716,1.0,0.17963841590099974,0.21070600472379059,0.03868305941664355,0.07944797479812737,0.16567164960567043,0.3429330051189814,0.394669429648679,0.41067470027238895
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.18539504676256127,0.22781882134319723,0.03082437275985663,0.05161290322580645,0.13476702508960572,0.4317770687739053,0.53229590010643,0.6835099458694458,1.0,0.17767871946572364,0.20747311249801215,0.03683148845729083,0.06031548557724502,0.1541982924414788,0.3352689810805977,0.3835094667122073,0.4002833797129301
Raw EfficientNet-B0,20262021,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.1694994750660386,0.21932380278960303,0.04396654719235364,0.08458781362007169,0.2033452807646356,0.4421428143978119,0.5704946289062499,0.7819525599479675,1.0,0.17006632425283683,0.2044035051999962,0.04497654614065221,0.084045077280766,0.20065707448321712,0.36107462188334033,0.4273325667834129,0.4604066585057821
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.17570772787542524,0.24249675631183007,0.056630824372759854,0.11804062126642771,0.2982078853046595,0.5222596287727356,0.644388328790664,0.8444901704788208,1.0,0.19928492317891594,0.23466242204254037,0.04197042873809421,0.0867509035213377,0.2195309163633947,0.4013072855621576,0.47092575974050815,0.5110405739673819
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.13565158250047385,0.2133251985216658,0.08028673835125448,0.17491039426523297,0.43727598566308246,0.5256911158561706,0.6900242483615874,0.8116689920425415,1.0,0.17030724362959887,0.19250707185913507,0.0551022471863259,0.11731852664897237,0.3041473779693584,0.28772021464227865,0.3277046252827919,0.3443525247810743
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.13558108669160693,0.21292300435679862,0.07741935483870968,0.17275985663082438,0.432258064516129,0.5209998130798339,0.6725617480278002,0.8116785883903503,1.0,0.17221977595316837,0.1929715795893692,0.05117263351834013,0.11577429548742524,0.2889651187069993,0.28501592847521484,0.3250970193349035,0.3418645116677269
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.14068792170511743,0.21716141803293282,0.07025089605734768,0.15412186379928317,0.42007168458781363,0.5178940296173096,0.6854977583885189,0.8444901704788208,1.0,0.17775533062758672,0.19952479085154587,0.052636963761740145,0.10878587397100165,0.27944754794849824,0.2953003160056682,0.33798233944261874,0.3554202613196312
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.14257602077341386,0.20200172805504263,0.06810035842293907,0.12759856630824373,0.3333333333333333,0.462465659379959,0.5669672441482544,0.6627272367477417,1.0,0.17504767374079994,0.20112553697760588,0.048125096736719386,0.09285224849454567,0.2609981516244269,0.30773983530367793,0.3510508074318942,0.3673537117433853
Raw EfficientNet-B0,20262022,raw,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.24719091886137404,0.2941058060451657,0.024372759856630826,0.044444444444444446,0.08673835125448029,0.5401816070079803,0.619037464857101,0.7786945104598999,1.0,0.24691294178702422,0.2773193358420531,0.02591011264916874,0.05281273228566189,0.09934153248405103,0.411347488643229,0.4564121278206698,0.4733551283285786
