comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points
geoprr_minus_yolo,industrial,perspective_moderate,10.508071511446037,30.325081320058477,-19.81700980861244,65.34857928148246,8.769414575866186,22.795698924731187
geoprr_minus_vdn,industrial,perspective_moderate,10.508071511446037,25.368248269976657,-14.86017675853062,58.57785922143332,-5.471923536439668,10.657108721624851
geoprr_minus_deeplab,industrial,perspective_moderate,10.508071511446037,38.012190787622494,-27.504119276176457,72.35604869460019,4.133811230585422,21.672640382317805
geoprr_minus_resnet18,industrial,perspective_severe,11.603921939772173,28.71284729634419,-17.108925356572016,59.58630706314653,20.86021505376344,42.580645161290334
geoprr_minus_efficientnet_b0,industrial,perspective_severe,11.603921939772173,17.109952529657768,-5.5060305898855955,32.18027975438063,15.412186379928315,26.642771804062132
geoprr_minus_mobilenet_v3_large,industrial,perspective_severe,11.603921939772173,19.09310229490812,-7.489180355135948,39.224533758106006,16.79808841099164,31.56511350059738
geoprr_minus_yolo,industrial,perspective_severe,11.603921939772173,57.21949030584849,-45.61556836607632,79.72033326800515,20.38231780167264,42.60454002389487
geoprr_minus_vdn,industrial,perspective_severe,11.603921939772173,48.963971553976435,-37.360049614204264,76.3011014599166,9.199522102747911,28.29151732377539
geoprr_minus_deeplab,industrial,perspective_severe,11.603921939772173,74.06134857950748,-62.45742663973531,84.33201371250357,18.781362007168457,41.72043010752689
geoprr_minus_resnet18,industrial,combined_severe,10.865048794709232,30.1998398269234,-19.33479103221417,64.02282642233436,21.76821983273596,44.75507765830346
geoprr_minus_efficientnet_b0,industrial,combined_severe,10.865048794709232,16.807446263164387,-5.942397468455155,35.35574277859606,16.41577060931899,27.88530465949821
geoprr_minus_mobilenet_v3_large,industrial,combined_severe,10.865048794709232,20.32516934471995,-9.460120550010718,46.54387075238937,18.183990442054952,35.50776583034648
geoprr_minus_yolo,industrial,combined_severe,10.865048794709232,61.2684408045162,-50.40339200980697,82.26648393195548,21.099163679808836,44.68339307048985
geoprr_minus_vdn,industrial,combined_severe,10.865048794709232,52.8900716107754,-42.02502281606617,79.45729989804802,9.295101553166067,30.25089605734767
geoprr_minus_deeplab,industrial,combined_severe,10.865048794709232,76.99149686940574,-66.1264480746965,85.8879886266678,20.454002389486256,45.16129032258065
geoprr_minus_resnet18,industrial,perspective_pair,11.055996725609106,25.197807533194204,-14.141810807585099,56.12317972091601,18.05256869772999,36.391875746714454
geoprr_minus_efficientnet_b0,industrial,perspective_pair,11.055996725609106,14.306494205488814,-3.2504974798797086,22.720433344408207,12.759856630824375,17.670250896057347
geoprr_minus_mobilenet_v3_large,industrial,perspective_pair,11.055996725609106,17.120740089234634,-6.064743363625528,35.423371489874924,13.213859020310634,23.596176821983274
geoprr_minus_yolo,industrial,perspective_pair,11.055996725609106,43.772285812953484,-32.71628908734438,74.74201650593875,14.575866188769416,32.70011947431302
geoprr_minus_vdn,industrial,perspective_pair,11.055996725609106,37.166109911976534,-26.11011318636743,70.25247799192893,1.8637992831541226,19.474313022700123
geoprr_minus_deeplab,industrial,perspective_pair,11.055996725609106,56.036769683565005,-44.9807729579559,80.27010338382921,11.457586618876944,31.69653524492234
geoprr_minus_resnet18,industrial,projective_three,10.992347415309146,26.865151631103938,-15.872804215794792,59.083248193609954,19.29111907606531,39.179609717244126
geoprr_minus_efficientnet_b0,industrial,projective_three,10.992347415309146,15.140144891380675,-4.1477974760715295,27.396022335512004,13.978494623655914,21.0752688172043
geoprr_minus_mobilenet_v3_large,industrial,projective_three,10.992347415309146,18.18888317439641,-7.196535759087263,39.5655724987968,14.870569494225409,27.566706491437674
geoprr_minus_yolo,industrial,projective_three,10.992347415309146,49.60433747680771,-38.61199006149856,77.83994712065538,16.750298685782557,36.69454400637196
geoprr_minus_vdn,industrial,projective_three,10.992347415309146,42.40743047824282,-31.415083062933675,74.0791948690483,4.340900039824767,23.06650736758264
geoprr_minus_deeplab,industrial,projective_three,10.992347415309146,63.02167874551191,-52.029331330202766,82.55783147304376,14.456391875746714,36.18478693747511
