comparison,dataset,scope,definition,candidate_better_groups,tied_groups,candidate_worse_groups,candidate_better_group_fraction,median_group_delta_pct_fs
geoprr_minus_efficientnet_b0,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,33,0,2,0.9428571428571428,-3.680386903451169
geoprr_minus_mobilenet_v3_large,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-7.274714824673508
geoprr_minus_yolo,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-29.780397361921768
geoprr_minus_vdn,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,33,0,2,0.9428571428571428,-27.31615942418106
geoprr_minus_deeplab,rf100,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-54.057415479342204
geoprr_minus_resnet18,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-4.367372517779115
geoprr_minus_efficientnet_b0,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-2.2464080403248463
geoprr_minus_mobilenet_v3_large,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-3.8349547744293666
geoprr_minus_yolo,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-18.025846887406185
geoprr_minus_vdn,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-17.275531291310998
geoprr_minus_deeplab,rf100,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-35.51823182310059
geoprr_minus_resnet18,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-5.468359209081227
geoprr_minus_efficientnet_b0,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,33,0,2,0.9428571428571428,-2.5376646688119533
geoprr_minus_mobilenet_v3_large,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-5.07515722783072
geoprr_minus_yolo,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-23.168707101924515
geoprr_minus_vdn,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-21.10595349539643
geoprr_minus_deeplab,rf100,projective_three,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-38.18427773711118
geoprr_minus_resnet18,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,32,0,20,0.6153846153846154,-4.265887317505495
geoprr_minus_efficientnet_b0,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,38,0,14,0.7307692307692307,-1.1343848415230768
geoprr_minus_mobilenet_v3_large,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,30,0,22,0.5769230769230769,-2.448796041494216
geoprr_minus_yolo,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-20.84471018325852
geoprr_minus_vdn,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-22.856539487806558
geoprr_minus_deeplab,industrial,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-30.428086676382424
geoprr_minus_resnet18,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,29,0,23,0.5576923076923077,-0.6522706925041124
geoprr_minus_efficientnet_b0,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,20,0,32,0.38461538461538464,0.021243219574292205
geoprr_minus_mobilenet_v3_large,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,23,0,29,0.4423076923076923,0.19906490085185857
geoprr_minus_yolo,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,42,0,10,0.8076923076923077,-7.429691846654924
geoprr_minus_vdn,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,49,0,3,0.9423076923076923,-14.127845594217305
geoprr_minus_deeplab,industrial,clean,compare row-mean errors within each source group after averaging source-seed errors,43,0,9,0.8269230769230769,-5.801689756307642
geoprr_minus_resnet18,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,29,0,23,0.5576923076923077,-0.4214012063193062
geoprr_minus_efficientnet_b0,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,22,0,30,0.4230769230769231,0.007712534826361583
geoprr_minus_mobilenet_v3_large,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,25,0,27,0.4807692307692308,0.10638776429462138
geoprr_minus_yolo,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,40,0,12,0.7692307692307693,-6.883136983277416
geoprr_minus_vdn,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,50,0,2,0.9615384615384616,-14.019411858387596
geoprr_minus_deeplab,industrial,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,44,0,8,0.8461538461538461,-5.523147704531609
geoprr_minus_resnet18,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,27,0,25,0.5192307692307693,-0.3480943031359649
geoprr_minus_efficientnet_b0,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,22,0,30,0.4230769230769231,0.003001183692365128
geoprr_minus_mobilenet_v3_large,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,24,0,28,0.46153846153846156,0.16684552619146276
geoprr_minus_yolo,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,37,0,15,0.7115384615384616,-3.4989871308507383
geoprr_minus_vdn,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,48,0,4,0.9230769230769231,-12.126500857885187
geoprr_minus_deeplab,industrial,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,42,0,10,0.8076923076923077,-5.483789331359961
geoprr_minus_resnet18,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,38,0,14,0.7307692307692307,-2.4189488952406197
geoprr_minus_efficientnet_b0,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,36,0,16,0.6923076923076923,-1.1884561655595316
geoprr_minus_mobilenet_v3_large,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,30,0,22,0.5769230769230769,-0.6034738577575045
geoprr_minus_yolo,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-23.353156799190494
geoprr_minus_vdn,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,51,0,1,0.9807692307692307,-19.340146520961596
geoprr_minus_deeplab,industrial,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-30.83724504110117
geoprr_minus_resnet18,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,39,0,13,0.75,-9.837886537094818
geoprr_minus_efficientnet_b0,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,40,0,12,0.7692307692307693,-3.285854148190713
geoprr_minus_mobilenet_v3_large,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,31,0,21,0.5961538461538461,-6.203724476425935
geoprr_minus_yolo,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-38.61107677146076
geoprr_minus_vdn,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-35.468762151948695
geoprr_minus_deeplab,industrial,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-59.38999559585419
geoprr_minus_resnet18,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,40,0,12,0.7692307692307693,-11.461835163603526
geoprr_minus_efficientnet_b0,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,38,0,14,0.7307692307692307,-3.5076674032354314
geoprr_minus_mobilenet_v3_large,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,32,0,20,0.6153846153846154,-5.900213871528326
geoprr_minus_yolo,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-42.26073419837416
geoprr_minus_vdn,industrial,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,52,0,0,1.0,-40.995532296141704
